Species,Strain,Run,Bioproject,Condition,Condition_detail,Sample_id,Genotype_label,Is_control,Replicate,Compound,BKT,crtZ,crtW,PDS,ZDS,crtB,lcyB,BKT_TPM,crtZ_TPM,crtW_TPM,PDS_TPM,ZDS_TPM,lcyB_TPM,crtB_TPM,Label 
Haematococcus pluvialis,NBU489,SRR29906351,PRJNA1138290,Chemical_treatment,1_mm_guanine,HL-Day5-Gua-3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,948.69,140.5,316.23,332.12,163.77,337.59,303.01,Medium
Haematococcus pluvialis,NBU489,SRR29906352,PRJNA1138290,Chemical_treatment,1_mm_guanine,HL-Day5-Gua-2,NA,0,2,astaxanthin,1,1,1,1,1,1,1,1118.79,180.26,372.93,356.98,176.88,332.75,328.49,Medium
Haematococcus pluvialis,NBU489,SRR29906353,PRJNA1138290,Chemical_treatment,1_mm_guanine,HL-Day5-Gua-1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,912.03,135.95,304.01,315.34,122.87,236.36,229.38,Medium
Haematococcus pluvialis,NBU489,SRR29906354,PRJNA1138290,Chemical_treatment,1_mm_uridine,HL-Day5-Uri-3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,1197.3,128.45,399.1,447.42,193.82,440.16,273.64,Medium
Haematococcus pluvialis,NBU489,SRR29906355,PRJNA1138290,Chemical_treatment,1_mm_uridine,HL-Day5-Uri-2,NA,0,2,astaxanthin,1,1,1,1,1,1,1,939.54,133.2,313.18,369.59,175.01,371.56,302.07,Medium
Haematococcus pluvialis,NBU489,SRR29906356,PRJNA1138290,Chemical_treatment,1_mm_uridine,HL-Day5-Uri-1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,1050.69,130.77,350.23,377.03,176.29,371.25,276.6,Medium
Haematococcus pluvialis,NBU489,SRR29906357,PRJNA1138290,Light,high_light,HL-Day1-1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,320.67,66.32,106.89,142.6,52.56,138.72,77.67,Low
Haematococcus pluvialis,NBU489,SRR29906358,PRJNA1138290,Chemical_treatment,1_mm_taurine,HL-Day3-Tau-3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,1016.64,171.33,338.88,192.27,82.81,189.06,170.4,Medium
Haematococcus pluvialis,NBU489,SRR29906359,PRJNA1138290,Chemical_treatment,1_mm_taurine,HL-Day3-Tau-2,NA,0,2,astaxanthin,1,1,1,1,1,1,1,1249.14,189.77,416.38,293.97,120.08,310.14,244.47,High
Haematococcus pluvialis,NBU489,SRR29906360,PRJNA1138290,Chemical_treatment,1_mm_taurine,HL-Day3-Tau-1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,1232.73,176.34,410.91,360.9,96.41,276.75,222.32,Medium
Haematococcus pluvialis,NBU489,SRR29906361,PRJNA1138290,Chemical_treatment,1_mm_xanthosine,HL-Day3-Xan-6,NA,0,6,astaxanthin,1,1,1,1,1,1,1,623.25,84.89,207.75,209.13,78.77,249.16,119.08,Medium
Haematococcus pluvialis,NBU489,SRR29906362,PRJNA1138290,Chemical_treatment,1_mm_xanthosine,HL-Day3-Xan-5,NA,0,5,astaxanthin,1,1,1,1,1,1,1,676.08,113.98,225.36,204.14,91.51,276.58,146.65,Medium
Haematococcus pluvialis,NBU489,SRR29906363,PRJNA1138290,Chemical_treatment,1_mm_xanthosine,HL-Day3-Xan-4,NA,0,4,astaxanthin,1,1,1,1,1,1,1,700.05,115.32,233.35,211.58,80.65,255.57,135.38,Medium
Haematococcus pluvialis,NBU489,SRR29906364,PRJNA1138290,Chemical_treatment,1_mm_xanthosine,HL-Day3-Xan-3,NA,0,3,astaxanthin,1,1,1,1,1,1,1,694.32,197.14,231.44,148.48,121.42,159.8,246.24,High
Haematococcus pluvialis,NBU489,SRR29906366,PRJNA1138290,Chemical_treatment,1_mm_xanthosine,HL-Day3-Xan-1,NA,0,1,astaxanthin,1,1,1,1,1,1,1,813.54,219.91,271.18,187.44,146.88,207.41,312.52,High
